Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
631,631,0,0,0025c1c3,0025c1c0,00000000,1,004b84f8,001e34ce,0
632,632,0,0,0025c1c4,0025c1c0,00000000,1,004b84f9,001e34ce,0
633,633,0,0,0025c1c4,0025c1c0,00000000,1,004b84fa,001e34ce,0
634,634,0,0,0025c1c5,0025c1c0,00000000,1,004b84fb,001e34ce,0
635,635,0,0,0025c1c6,0025c1c0,00000000,1,004b84fc,001e34ce,0
636,636,0,0,0025c1c7,0025c1c0,00000000,1,004b84fd,001e34ce,0
637,637,0,0,0025c1c8,0025c1c0,00000000,1,004b84fe,001e34ce,0
638,638,0,0,0025c1c8,0025c1c0,00000000,1,004b84ff,001e34ce,0
639,639,0,0,0025c1c9,0025c1c0,00000000,1,004b8500,001e34ce,0
640,640,0,0,0025c1ca,0025c1c0,00000000,1,004b8501,001e34ce,0
641,641,0,0,0025c1cb,0025c1c0,00000000,1,004b8502,001e34ce,0
642,642,0,0,0025c1cb,0025c1c0,00000000,1,004b8503,001e34ce,0
643,643,0,0,0025c1cb,0025c1c0,00000000,1,004b8504,001e34ce,0
644,644,0,0,0025c1cc,0025c1c0,00000000,1,004b8504,001e34cf,0
645,645,0,0,0025c1cd,0025c1c0,00000000,1,004b8504,001e34d0,0
646,646,0,0,0025c1ce,0025c1c0,00000000,1,004b8504,001e34d1,0
647,647,0,0,0025c1cf,0025c1c0,00000000,1,004b8504,001e34d2,0
648,648,0,0,0025c1cf,0025c1c0,00000000,1,004b8504,001e34d3,0
649,649,0,0,0025c1d0,0025c1c0,00000000,1,004b8504,001e34d4,0
650,650,0,0,0025c1d0,0025c1c1,00000000,1,004b8504,001e34d5,0
651,651,0,0,0025c1d0,0025c1c2,00000000,1,004b8504,001e34d6,0
652,652,0,0,0025c1d0,0025c1c3,00000000,1,004b8504,001e34d7,0
653,653,0,0,0025c1d0,0025c1c3,00000000,1,004b8505,001e34d7,0
654,654,0,0,0025c1d0,0025c1c3,00000000,1,004b8506,001e34d7,0
655,655,0,0,0025c1d0,0025c1c4,00000000,1,004b8507,001e34d7,0
656,656,0,0,0025c1d0,0025c1c5,00000000,1,004b8507,001e34d8,0
657,657,0,0,0025c1d0,0025c1c6,00000000,1,004b8508,001e34d8,0
658,658,0,0,0025c1d0,0025c1c6,00000000,1,004b8509,001e34d8,0
659,659,0,0,0025c1d0,0025c1c7,00000000,1,004b8509,001e34d9,0
660,660,0,0,0025c1d0,0025c1c8,00000000,1,004b850a,001e34d9,0
661,661,0,0,0025c1d0,0025c1c9,00000000,1,004b850a,001e34da,0
662,662,0,0,0025c1d0,0025c1ca,00000000,1,004b850b,001e34da,0
663,663,0,0,0025c1d0,0025c1ca,00000000,1,004b850c,001e34da,0
664,664,0,0,0025c1d0,0025c1cb,00000000,1,004b850d,001e34da,0
665,665,0,0,0025c1d0,0025c1cc,00000000,1,004b850e,001e34da,0
666,666,0,0,0025c1d0,0025c1cc,00000000,1,004b850e,001e34db,0
667,667,0,0,0025c1d0,0025c1cd,00000000,1,004b850f,001e34db,0
668,668,0,0,0025c1d0,0025c1cd,00000000,1,004b8510,001e34db,0
669,669,0,0,0025c1d0,0025c1ce,00000000,1,004b8511,001e34db,0
670,670,0,0,0025c1d0,0025c1cf,00000000,1,004b8512,001e34db,0
671,671,0,0,0025c1d0,0025c1d0,00000000,1,004b8513,001e34db,0
672,672,0,0,0025c1d1,0025c1d0,00000000,1,004b8514,001e34db,0
673,673,0,0,0025c1d1,0025c1d0,00000000,1,004b8515,001e34db,0
674,674,0,0,0025c1d2,0025c1d0,00000000,1,004b8516,001e34db,0
675,675,0,0,0025c1d3,0025c1d0,00000000,1,004b8517,001e34db,0
676,676,0,0,0025c1d4,0025c1d0,00000000,1,004b8518,001e34db,0
677,677,0,0,0025c1d4,0025c1d0,00000000,1,004b8519,001e34db,0
678,678,0,0,0025c1d4,0025c1d0,00000000,1,004b851a,001e34db,0
679,679,0,0,0025c1d5,0025c1d0,00000000,1,004b851b,001e34db,0
680,680,0,0,0025c1d6,0025c1d0,00000000,1,004b851c,001e34db,0
681,681,0,0,0025c1d7,0025c1d0,00000000,1,004b851d,001e34db,0
682,682,0,0,0025c1d8,0025c1d0,00000000,1,004b851e,001e34db,0
683,683,0,0,0025c1d8,0025c1d0,00000000,1,004b851f,001e34db,0
684,684,0,0,0025c1d9,0025c1d0,00000000,1,004b8520,001e34db,0
685,685,0,0,0025c1da,0025c1d0,00000000,1,004b8521,001e34db,0
686,686,0,0,0025c1db,0025c1d0,00000000,1,004b8522,001e34db,0
687,687,0,0,0025c1dc,0025c1d0,00000000,1,004b8523,001e34db,0
688,688,0,0,0025c1dc,0025c1d0,00000000,1,004b8524,001e34db,0
689,689,0,0,0025c1dc,0025c1d0,00000000,1,004b8524,001e34dc,0
690,690,0,0,0025c1dd,0025c1d0,00000000,1,004b8524,001e34dd,0
691,691,0,0,0025c1de,0025c1d0,00000000,1,004b8524,001e34de,0
692,692,0,0,0025c1df,0025c1d0,00000000,1,004b8524,001e34df,0
693,693,0,0,0025c1df,0025c1d0,00000000,1,004b8524,001e34e0,0
694,694,0,0,0025c1e0,0025c1d0,00000000,1,004b8524,001e34e1,0
695,695,0,0,0025c1e0,0025c1d1,00000000,1,004b8524,001e34e2,0
696,696,0,0,0025c1e0,0025c1d2,00000000,1,004b8524,001e34e3,0
697,697,0,0,0025c1e0,0025c1d3,00000000,1,004b8524,001e34e4,0
698,698,0,0,0025c1e0,0025c1d3,00000000,1,004b8525,001e34e4,0
699,699,0,0,0025c1e0,0025c1d4,00000000,1,004b8526,001e34e4,0
700,700,0,0,0025c1e0,0025c1d5,00000000,1,004b8527,001e34e4,0
701,701,0,0,0025c1e0,0025c1d5,00000000,1,004b8527,001e34e5,0
702,702,0,0,0025c1e0,0025c1d6,00000000,1,004b8528,001e34e5,0
703,703,0,0,0025c1e0,0025c1d6,00000000,1,004b8529,001e34e5,0
704,704,0,0,0025c1e0,0025c1d7,00000000,1,004b8529,001e34e6,0
705,705,0,0,0025c1e0,0025c1d8,00000000,1,004b852a,001e34e6,0
706,706,0,0,0025c1e0,0025c1d9,00000000,1,004b852a,001e34e7,0
707,707,0,0,0025c1e0,0025c1da,00000000,1,004b852b,001e34e7,0
708,708,0,0,0025c1e0,0025c1da,00000000,1,004b852c,001e34e7,0
709,709,0,0,0025c1e0,0025c1db,00000000,1,004b852d,001e34e7,0
710,710,0,0,0025c1e0,0025c1dc,00000000,1,004b852e,001e34e7,0
711,711,0,0,0025c1e0,0025c1dd,00000000,1,004b852e,001e34e8,0
712,712,0,0,0025c1e0,0025c1dd,00000000,1,004b852f,001e34e8,0
713,713,0,0,0025c1e0,0025c1dd,00000000,1,004b8530,001e34e8,0
714,714,0,0,0025c1e0,0025c1de,00000000,1,004b8531,001e34e8,0
715,715,0,0,0025c1e0,0025c1df,00000000,1,004b8532,001e34e8,0
716,716,0,0,0025c1e0,0025c1e0,00000000,1,004b8533,001e34e8,0
717,717,0,0,0025c1e1,0025c1e0,00000000,1,004b8534,001e34e8,0
718,718,0,0,0025c1e1,0025c1e0,00000000,1,004b8535,001e34e8,0
719,719,0,0,0025c1e2,0025c1e0,00000000,1,004b8536,001e34e8,0
720,720,0,0,0025c1e3,0025c1e0,00000000,1,004b8537,001e34e8,0
721,721,0,0,0025c1e4,0025c1e0,00000000,1,004b8538,001e34e8,0
722,722,0,0,0025c1e5,0025c1e0,00000000,1,004b8539,001e34e8,0
723,723,0,0,0025c1e5,0025c1e0,00000000,1,004b853a,001e34e8,0
724,724,0,0,0025c1e5,0025c1e0,00000000,1,004b853b,001e34e8,0
