Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_11/state_dbg[1:0],u_stress/agent_11/tx_flit_cnt[31:0],u_stress/agent_11/tx_stall_cnt[31:0],u_stress/agent_11/rx_vc1_cnt[31:0],u_stress/agent_11/rx_err_cnt[31:0],u_stress/agent_11/rx_tdest_dbg[3:0],u_stress/agent_11/rx_vc0_cnt[31:0],u_stress/agent_11/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
124,124,0,1,00b61c49,00000000,005b0ed0,00000000,5,005b0e93,0
125,125,0,1,00b61c4a,00000000,005b0ed0,00000000,5,005b0e94,0
126,126,0,1,00b61c4b,00000000,005b0ed0,00000000,5,005b0e95,0
127,127,0,1,00b61c4c,00000000,005b0ed0,00000000,5,005b0e96,0
128,128,0,1,00b61c4d,00000000,005b0ed0,00000000,5,005b0e97,0
129,129,0,1,00b61c4e,00000000,005b0ed0,00000000,5,005b0e98,0
130,130,0,1,00b61c4f,00000000,005b0ed0,00000000,5,005b0e99,0
131,131,0,1,00b61c50,00000000,005b0ed0,00000000,5,005b0e9a,0
132,132,0,1,00b61c51,00000000,005b0ed0,00000000,5,005b0e9b,0
133,133,0,1,00b61c52,00000000,005b0ed1,00000000,5,005b0e9b,0
134,134,0,1,00b61c53,00000000,005b0ed2,00000000,5,005b0e9b,0
135,135,0,1,00b61c54,00000000,005b0ed3,00000000,5,005b0e9b,0
136,136,0,1,00b61c55,00000000,005b0ed4,00000000,5,005b0e9b,0
137,137,0,1,00b61c56,00000000,005b0ed5,00000000,5,005b0e9b,0
138,138,0,1,00b61c57,00000000,005b0ed6,00000000,5,005b0e9b,0
139,139,0,1,00b61c58,00000000,005b0ed7,00000000,5,005b0e9b,0
140,140,0,1,00b61c59,00000000,005b0ed8,00000000,5,005b0e9b,0
141,141,0,1,00b61c5a,00000000,005b0ed9,00000000,5,005b0e9b,0
142,142,0,1,00b61c5b,00000000,005b0eda,00000000,5,005b0e9b,0
143,143,0,1,00b61c5c,00000000,005b0edb,00000000,5,005b0e9b,0
144,144,0,1,00b61c5d,00000000,005b0edc,00000000,5,005b0e9b,0
145,145,0,1,00b61c5e,00000000,005b0edd,00000000,5,005b0e9b,0
146,146,0,1,00b61c5f,00000000,005b0ede,00000000,5,005b0e9b,0
147,147,0,1,00b61c60,00000000,005b0edf,00000000,5,005b0e9b,0
148,148,0,1,00b61c61,00000000,005b0ee0,00000000,5,005b0e9b,0
149,149,0,1,00b61c62,00000000,005b0ee0,00000000,5,005b0e9c,0
150,150,0,1,00b61c63,00000000,005b0ee0,00000000,5,005b0e9d,0
151,151,0,1,00b61c64,00000000,005b0ee0,00000000,5,005b0e9e,0
152,152,0,1,00b61c65,00000000,005b0ee0,00000000,5,005b0e9f,0
153,153,0,1,00b61c66,00000000,005b0ee0,00000000,5,005b0ea0,0
154,154,0,1,00b61c67,00000000,005b0ee0,00000000,5,005b0ea1,0
155,155,0,1,00b61c68,00000000,005b0ee0,00000000,5,005b0ea2,0
156,156,0,1,00b61c69,00000000,005b0ee0,00000000,5,005b0ea3,0
157,157,0,1,00b61c6a,00000000,005b0ee0,00000000,5,005b0ea4,0
158,158,0,1,00b61c6b,00000000,005b0ee0,00000000,5,005b0ea5,0
159,159,0,1,00b61c6c,00000000,005b0ee0,00000000,5,005b0ea6,0
160,160,0,1,00b61c6d,00000000,005b0ee0,00000000,5,005b0ea7,0
161,161,0,1,00b61c6e,00000000,005b0ee0,00000000,5,005b0ea8,0
162,162,0,1,00b61c6f,00000000,005b0ee0,00000000,5,005b0ea9,0
163,163,0,1,00b61c70,00000000,005b0ee0,00000000,5,005b0eaa,0
164,164,0,1,00b61c71,00000000,005b0ee0,00000000,5,005b0eab,0
165,165,0,1,00b61c72,00000000,005b0ee0,00000000,5,005b0eac,0
166,166,0,1,00b61c73,00000000,005b0ee0,00000000,5,005b0ead,0
167,167,0,1,00b61c74,00000000,005b0ee0,00000000,5,005b0eae,0
168,168,0,1,00b61c75,00000000,005b0ee1,00000000,5,005b0eae,0
169,169,0,1,00b61c76,00000000,005b0ee2,00000000,5,005b0eae,0
170,170,0,1,00b61c77,00000000,005b0ee3,00000000,5,005b0eae,0
171,171,0,1,00b61c78,00000000,005b0ee4,00000000,5,005b0eae,0
172,172,0,1,00b61c79,00000000,005b0ee5,00000000,5,005b0eae,0
173,173,0,1,00b61c7a,00000000,005b0ee6,00000000,5,005b0eae,0
174,174,0,1,00b61c7b,00000000,005b0ee7,00000000,5,005b0eae,0
175,175,0,1,00b61c7c,00000000,005b0ee8,00000000,5,005b0eae,0
176,176,0,1,00b61c7d,00000000,005b0ee9,00000000,5,005b0eae,0
177,177,0,1,00b61c7e,00000000,005b0eea,00000000,5,005b0eae,0
178,178,0,1,00b61c7f,00000000,005b0eeb,00000000,5,005b0eae,0
179,179,0,1,00b61c80,00000000,005b0eec,00000000,5,005b0eae,0
180,180,0,1,00b61c81,00000000,005b0eed,00000000,5,005b0eae,0
181,181,0,1,00b61c82,00000000,005b0eee,00000000,5,005b0eae,0
182,182,0,1,00b61c83,00000000,005b0eef,00000000,5,005b0eae,0
183,183,0,1,00b61c84,00000000,005b0ef0,00000000,5,005b0eae,0
184,184,0,1,00b61c85,00000000,005b0ef0,00000000,5,005b0eaf,0
185,185,0,1,00b61c86,00000000,005b0ef0,00000000,5,005b0eb0,0
186,186,0,1,00b61c87,00000000,005b0ef0,00000000,5,005b0eb1,0
187,187,0,1,00b61c88,00000000,005b0ef0,00000000,5,005b0eb2,0
188,188,0,1,00b61c89,00000000,005b0ef0,00000000,5,005b0eb3,0
189,189,0,1,00b61c8a,00000000,005b0ef0,00000000,5,005b0eb4,0
190,190,0,1,00b61c8b,00000000,005b0ef0,00000000,5,005b0eb5,0
191,191,0,1,00b61c8c,00000000,005b0ef0,00000000,5,005b0eb6,0
192,192,0,1,00b61c8d,00000000,005b0ef0,00000000,5,005b0eb7,0
193,193,0,1,00b61c8e,00000000,005b0ef0,00000000,5,005b0eb8,0
194,194,0,1,00b61c8f,00000000,005b0ef0,00000000,5,005b0eb9,0
195,195,0,1,00b61c90,00000000,005b0ef0,00000000,5,005b0eba,0
196,196,0,1,00b61c91,00000000,005b0ef0,00000000,5,005b0ebb,0
197,197,0,1,00b61c92,00000000,005b0ef1,00000000,5,005b0ebb,0
198,198,0,1,00b61c93,00000000,005b0ef2,00000000,5,005b0ebb,0
199,199,0,1,00b61c94,00000000,005b0ef3,00000000,5,005b0ebb,0
200,200,0,1,00b61c95,00000000,005b0ef4,00000000,5,005b0ebb,0
201,201,0,1,00b61c96,00000000,005b0ef5,00000000,5,005b0ebb,0
202,202,0,1,00b61c97,00000000,005b0ef6,00000000,5,005b0ebb,0
203,203,0,1,00b61c98,00000000,005b0ef7,00000000,5,005b0ebb,0
204,204,0,1,00b61c99,00000000,005b0ef8,00000000,5,005b0ebb,0
205,205,0,1,00b61c9a,00000000,005b0ef9,00000000,5,005b0ebb,0
206,206,0,1,00b61c9b,00000000,005b0efa,00000000,5,005b0ebb,0
207,207,0,1,00b61c9c,00000000,005b0efb,00000000,5,005b0ebb,0
208,208,0,1,00b61c9d,00000000,005b0efc,00000000,5,005b0ebb,0
209,209,0,1,00b61c9e,00000000,005b0efd,00000000,5,005b0ebb,0
210,210,0,1,00b61c9f,00000000,005b0efe,00000000,5,005b0ebb,0
211,211,0,1,00b61ca0,00000000,005b0eff,00000000,5,005b0ebb,0
212,212,0,1,00b61ca1,00000000,005b0f00,00000000,5,005b0ebb,0
213,213,0,1,00b61ca2,00000000,005b0f00,00000000,5,005b0ebc,0
214,214,0,1,00b61ca3,00000000,005b0f00,00000000,5,005b0ebd,0
215,215,0,1,00b61ca4,00000000,005b0f00,00000000,5,005b0ebe,0
216,216,0,1,00b61ca5,00000000,005b0f00,00000000,5,005b0ebf,0
217,217,0,1,00b61ca6,00000000,005b0f00,00000000,5,005b0ec0,0
218,218,0,1,00b61ca7,00000000,005b0f00,00000000,5,005b0ec1,0
219,219,0,1,00b61ca8,00000000,005b0f00,00000000,5,005b0ec2,0
220,220,0,1,00b61ca9,00000000,005b0f00,00000000,5,005b0ec3,0
221,221,0,1,00b61caa,00000000,005b0f00,00000000,5,005b0ec4,0
222,222,0,1,00b61cab,00000000,005b0f00,00000000,5,005b0ec5,0
223,223,0,1,00b61cac,00000000,005b0f00,00000000,5,005b0ec6,0
224,224,0,1,00b61cad,00000000,005b0f00,00000000,5,005b0ec7,0
225,225,0,1,00b61cae,00000000,005b0f00,00000000,5,005b0ec8,0
226,226,0,1,00b61caf,00000000,005b0f00,00000000,5,005b0ec9,0
227,227,0,1,00b61cb0,00000000,005b0f00,00000000,5,005b0eca,0
228,228,0,1,00b61cb1,00000000,005b0f00,00000000,5,005b0ecb,0
229,229,0,1,00b61cb2,00000000,005b0f00,00000000,5,005b0ecc,0
230,230,0,1,00b61cb3,00000000,005b0f00,00000000,5,005b0ecd,0
231,231,0,1,00b61cb4,00000000,005b0f00,00000000,5,005b0ece,0
232,232,0,1,00b61cb5,00000000,005b0f01,00000000,5,005b0ece,0
233,233,0,1,00b61cb6,00000000,005b0f02,00000000,5,005b0ece,0
234,234,0,1,00b61cb7,00000000,005b0f03,00000000,5,005b0ece,0
235,235,0,1,00b61cb8,00000000,005b0f04,00000000,5,005b0ece,0
236,236,0,1,00b61cb9,00000000,005b0f05,00000000,5,005b0ece,0
237,237,0,1,00b61cba,00000000,005b0f06,00000000,5,005b0ece,0
238,238,0,1,00b61cbb,00000000,005b0f07,00000000,5,005b0ece,0
239,239,0,1,00b61cbc,00000000,005b0f08,00000000,5,005b0ece,0
240,240,0,1,00b61cbd,00000000,005b0f09,00000000,5,005b0ece,0
241,241,0,1,00b61cbe,00000000,005b0f0a,00000000,5,005b0ece,0
242,242,0,1,00b61cbf,00000000,005b0f0b,00000000,5,005b0ece,0
243,243,0,1,00b61cc0,00000000,005b0f0c,00000000,5,005b0ece,0
244,244,0,1,00b61cc1,00000000,005b0f0d,00000000,5,005b0ece,0
245,245,0,1,00b61cc2,00000000,005b0f0e,00000000,5,005b0ece,0
246,246,0,1,00b61cc3,00000000,005b0f0f,00000000,5,005b0ece,0
247,247,0,1,00b61cc4,00000000,005b0f10,00000000,5,005b0ece,0
248,248,0,1,00b61cc5,00000000,005b0f10,00000000,5,005b0ecf,0
249,249,0,1,00b61cc6,00000000,005b0f10,00000000,5,005b0ed0,0
250,250,0,1,00b61cc7,00000000,005b0f10,00000000,5,005b0ed1,0
251,251,0,1,00b61cc8,00000000,005b0f10,00000000,5,005b0ed2,0
252,252,0,1,00b61cc9,00000000,005b0f10,00000000,5,005b0ed3,0
253,253,0,1,00b61cca,00000000,005b0f10,00000000,5,005b0ed4,0
254,254,0,1,00b61ccb,00000000,005b0f10,00000000,5,005b0ed5,0
255,255,0,1,00b61ccc,00000000,005b0f10,00000000,5,005b0ed6,0
256,256,0,1,00b61ccd,00000000,005b0f10,00000000,5,005b0ed7,0
257,257,0,1,00b61cce,00000000,005b0f10,00000000,5,005b0ed8,0
258,258,0,1,00b61ccf,00000000,005b0f10,00000000,5,005b0ed9,0
259,259,0,1,00b61cd0,00000000,005b0f10,00000000,5,005b0eda,0
260,260,0,1,00b61cd1,00000000,005b0f10,00000000,5,005b0edb,0
261,261,0,1,00b61cd2,00000000,005b0f11,00000000,5,005b0edb,0
262,262,0,1,00b61cd3,00000000,005b0f12,00000000,5,005b0edb,0
263,263,0,1,00b61cd4,00000000,005b0f13,00000000,5,005b0edb,0
264,264,0,1,00b61cd5,00000000,005b0f14,00000000,5,005b0edb,0
265,265,0,1,00b61cd6,00000000,005b0f15,00000000,5,005b0edb,0
266,266,0,1,00b61cd7,00000000,005b0f16,00000000,5,005b0edb,0
267,267,0,1,00b61cd8,00000000,005b0f17,00000000,5,005b0edb,0
268,268,0,1,00b61cd9,00000000,005b0f18,00000000,5,005b0edb,0
269,269,0,1,00b61cda,00000000,005b0f19,00000000,5,005b0edb,0
270,270,0,1,00b61cdb,00000000,005b0f1a,00000000,5,005b0edb,0
271,271,0,1,00b61cdc,00000000,005b0f1b,00000000,5,005b0edb,0
272,272,0,1,00b61cdd,00000000,005b0f1c,00000000,5,005b0edb,0
273,273,0,1,00b61cde,00000000,005b0f1d,00000000,5,005b0edb,0
274,274,0,1,00b61cdf,00000000,005b0f1e,00000000,5,005b0edb,0
275,275,0,1,00b61ce0,00000000,005b0f1f,00000000,5,005b0edb,0
276,276,0,1,00b61ce1,00000000,005b0f20,00000000,5,005b0edb,0
277,277,0,1,00b61ce2,00000000,005b0f20,00000000,5,005b0edc,0
278,278,0,1,00b61ce3,00000000,005b0f20,00000000,5,005b0edd,0
279,279,0,1,00b61ce4,00000000,005b0f20,00000000,5,005b0ede,0
280,280,0,1,00b61ce5,00000000,005b0f20,00000000,5,005b0edf,0
281,281,0,1,00b61ce6,00000000,005b0f20,00000000,5,005b0ee0,0
282,282,0,1,00b61ce7,00000000,005b0f20,00000000,5,005b0ee1,0
283,283,0,1,00b61ce8,00000000,005b0f20,00000000,5,005b0ee2,0
284,284,0,1,00b61ce9,00000000,005b0f20,00000000,5,005b0ee3,0
285,285,0,1,00b61cea,00000000,005b0f20,00000000,5,005b0ee4,0
286,286,0,1,00b61ceb,00000000,005b0f20,00000000,5,005b0ee5,0
287,287,0,1,00b61cec,00000000,005b0f20,00000000,5,005b0ee6,0
288,288,0,1,00b61ced,00000000,005b0f20,00000000,5,005b0ee7,0
289,289,0,1,00b61cee,00000000,005b0f20,00000000,5,005b0ee8,0
290,290,0,1,00b61cef,00000000,005b0f20,00000000,5,005b0ee9,0
291,291,0,1,00b61cf0,00000000,005b0f20,00000000,5,005b0eea,0
292,292,0,1,00b61cf1,00000000,005b0f20,00000000,5,005b0eeb,0
293,293,0,1,00b61cf2,00000000,005b0f20,00000000,5,005b0eec,0
294,294,0,1,00b61cf3,00000000,005b0f20,00000000,5,005b0eed,0
295,295,0,1,00b61cf4,00000000,005b0f20,00000000,5,005b0eee,0
296,296,0,1,00b61cf5,00000000,005b0f21,00000000,5,005b0eee,0
297,297,0,1,00b61cf6,00000000,005b0f22,00000000,5,005b0eee,0
298,298,0,1,00b61cf7,00000000,005b0f23,00000000,5,005b0eee,0
299,299,0,1,00b61cf8,00000000,005b0f24,00000000,5,005b0eee,0
300,300,0,1,00b61cf9,00000000,005b0f25,00000000,5,005b0eee,0
301,301,0,1,00b61cfa,00000000,005b0f26,00000000,5,005b0eee,0
302,302,0,1,00b61cfb,00000000,005b0f27,00000000,5,005b0eee,0
