Sample in Buffer,Sample in Window,TRIGGER,uut_noc_top/mon_active_cnt[31:0],uut_noc_top/mon_stall_cnt[31:0],uut_noc_top/mon_flit_cnt[31:0],uut_noc_top/mon_rx_pkt_cnt[31:0],uut_noc_top/mon_rx_stall_cnt[31:0],uut_noc_top/mon_rx_flit_cnt[31:0],uut_noc_top/mon_pkt_cnt[31:0],uut_noc_top/mon_rx_active_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
65,65,0,238a452b,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a452b,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
66,66,0,238a452c,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a452c,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
67,67,0,238a452d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a452d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
68,68,0,238a452e,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a452e,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
69,69,0,238a452f,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a452f,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
70,70,0,238a4530,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4530,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
71,71,0,238a4531,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4531,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
72,72,0,238a4532,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4532,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
73,73,0,238a4533,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4533,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
74,74,0,238a4534,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4534,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
75,75,0,238a4535,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4535,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
76,76,0,238a4536,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4536,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
77,77,0,238a4537,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4537,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
78,78,0,238a4538,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4538,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
79,79,0,238a4539,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4539,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
80,80,0,238a453a,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a453a,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
81,81,0,238a453b,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a453b,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
82,82,0,238a453c,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a453c,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
83,83,0,238a453d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a453d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
84,84,0,238a453e,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a453e,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
85,85,0,238a453f,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a453f,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
86,86,0,238a4540,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4540,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
87,87,0,238a4541,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4541,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
88,88,0,238a4542,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4542,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
89,89,0,238a4543,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4543,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
90,90,0,238a4544,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4544,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
91,91,0,238a4545,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4545,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
92,92,0,238a4546,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4546,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
93,93,0,238a4547,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4547,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
94,94,0,238a4548,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4548,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
95,95,0,238a4549,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4549,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
96,96,0,238a454a,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a454a,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
97,97,0,238a454b,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a454b,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
98,98,0,238a454c,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a454c,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
99,99,0,238a454d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a454d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
100,100,0,238a454e,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a454e,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
101,101,0,238a454f,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a454f,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
102,102,0,238a4550,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4550,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
103,103,0,238a4551,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4551,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
104,104,0,238a4552,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4552,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
105,105,0,238a4553,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4553,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
106,106,0,238a4554,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4554,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
107,107,0,238a4555,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4555,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
108,108,0,238a4556,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4556,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
109,109,0,238a4557,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4557,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
110,110,0,238a4558,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4558,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
111,111,0,238a4559,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4559,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
112,112,0,238a455a,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a455a,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
113,113,0,238a455b,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a455b,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
114,114,0,238a455c,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a455c,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
115,115,0,238a455d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a455d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
116,116,0,238a455e,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a455e,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
117,117,0,238a455f,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a455f,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
118,118,0,238a4560,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4560,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
119,119,0,238a4561,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4561,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
120,120,0,238a4562,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4562,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
121,121,0,238a4563,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4563,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
122,122,0,238a4564,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4564,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
123,123,0,238a4565,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4565,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
124,124,0,238a4566,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4566,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
125,125,0,238a4567,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4567,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
126,126,0,238a4568,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4568,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
127,127,0,238a4569,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4569,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
128,128,0,238a456a,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a456a,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
129,129,0,238a456b,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a456b,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
130,130,0,238a456c,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a456c,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
131,131,0,238a456d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a456d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
132,132,0,238a456e,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a456e,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
133,133,0,238a456f,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a456f,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
134,134,0,238a4570,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4570,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
135,135,0,238a4571,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4571,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
136,136,0,238a4572,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4572,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
137,137,0,238a4573,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4573,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
138,138,0,238a4574,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4574,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
139,139,0,238a4575,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4575,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
140,140,0,238a4576,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4576,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
141,141,0,238a4577,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4577,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
142,142,0,238a4578,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4578,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
143,143,0,238a4579,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4579,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
144,144,0,238a457a,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a457a,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
145,145,0,238a457b,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a457b,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
146,146,0,238a457c,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a457c,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
147,147,0,238a457d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a457d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
148,148,0,238a457e,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a457e,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
149,149,0,238a457f,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a457f,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
150,150,0,238a4580,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4580,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
151,151,0,238a4581,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4581,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
152,152,0,238a4582,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4582,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
153,153,0,238a4583,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4583,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
154,154,0,238a4584,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4584,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
155,155,0,238a4585,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4585,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
156,156,0,238a4586,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4586,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
157,157,0,238a4587,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4587,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
158,158,0,238a4588,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4588,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
159,159,0,238a4589,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4589,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
160,160,0,238a458a,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a458a,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
161,161,0,238a458b,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a458b,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
162,162,0,238a458c,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a458c,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
163,163,0,238a458d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a458d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
