Sample in Buffer,Sample in Window,TRIGGER,uut_noc_top/mon_stall_cnt[31:0],uut_noc_top/mon_rx_stall_cnt[31:0],uut_noc_top/mon_rx_pkt_cnt[31:0],uut_noc_top/mon_active_cnt[31:0],uut_noc_top/mon_flit_cnt[31:0],uut_noc_top/mon_rx_active_cnt[31:0],uut_noc_top/mon_pkt_cnt[31:0],uut_noc_top/mon_rx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
46,46,0,00000000,00000000,000ee50f,3d174f49,00000000,3d174f49,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
47,47,0,00000000,00000000,000ee50f,3d174f4a,00000000,3d174f4a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
48,48,0,00000000,00000000,000ee50f,3d174f4b,00000000,3d174f4b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
49,49,0,00000000,00000000,000ee50f,3d174f4c,00000000,3d174f4c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
50,50,0,00000000,00000000,000ee50f,3d174f4d,00000000,3d174f4d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
51,51,0,00000000,00000000,000ee50f,3d174f4e,00000000,3d174f4e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
52,52,0,00000000,00000000,000ee50f,3d174f4f,00000000,3d174f4f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
53,53,0,00000000,00000000,000ee50f,3d174f50,00000000,3d174f50,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
54,54,0,00000000,00000000,000ee50f,3d174f51,00000000,3d174f51,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
55,55,0,00000000,00000000,000ee50f,3d174f52,00000000,3d174f52,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
56,56,0,00000000,00000000,000ee50f,3d174f53,00000000,3d174f53,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
57,57,0,00000000,00000000,000ee50f,3d174f54,00000000,3d174f54,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
58,58,0,00000000,00000000,000ee50f,3d174f55,00000000,3d174f55,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
59,59,0,00000000,00000000,000ee50f,3d174f56,00000000,3d174f56,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
60,60,0,00000000,00000000,000ee50f,3d174f57,00000000,3d174f57,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
61,61,0,00000000,00000000,000ee50f,3d174f58,00000000,3d174f58,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
62,62,0,00000000,00000000,000ee50f,3d174f59,00000000,3d174f59,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
63,63,0,00000000,00000000,000ee50f,3d174f5a,00000000,3d174f5a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
64,64,0,00000000,00000000,000ee50f,3d174f5b,00000000,3d174f5b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
65,65,0,00000000,00000000,000ee50f,3d174f5c,00000000,3d174f5c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
66,66,0,00000000,00000000,000ee50f,3d174f5d,00000000,3d174f5d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
67,67,0,00000000,00000000,000ee50f,3d174f5e,00000000,3d174f5e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
68,68,0,00000000,00000000,000ee50f,3d174f5f,00000000,3d174f5f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
69,69,0,00000000,00000000,000ee50f,3d174f60,00000000,3d174f60,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
70,70,0,00000000,00000000,000ee50f,3d174f61,00000000,3d174f61,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
71,71,0,00000000,00000000,000ee50f,3d174f62,00000000,3d174f62,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
72,72,0,00000000,00000000,000ee50f,3d174f63,00000000,3d174f63,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
73,73,0,00000000,00000000,000ee50f,3d174f64,00000000,3d174f64,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
74,74,0,00000000,00000000,000ee50f,3d174f65,00000000,3d174f65,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
75,75,0,00000000,00000000,000ee50f,3d174f66,00000000,3d174f66,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
76,76,0,00000000,00000000,000ee50f,3d174f67,00000000,3d174f67,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
77,77,0,00000000,00000000,000ee50f,3d174f68,00000000,3d174f68,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
78,78,0,00000000,00000000,000ee50f,3d174f69,00000000,3d174f69,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
79,79,0,00000000,00000000,000ee50f,3d174f6a,00000000,3d174f6a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
80,80,0,00000000,00000000,000ee50f,3d174f6b,00000000,3d174f6b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
81,81,0,00000000,00000000,000ee50f,3d174f6c,00000000,3d174f6c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
82,82,0,00000000,00000000,000ee50f,3d174f6d,00000000,3d174f6d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
83,83,0,00000000,00000000,000ee50f,3d174f6e,00000000,3d174f6e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
84,84,0,00000000,00000000,000ee50f,3d174f6f,00000000,3d174f6f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
85,85,0,00000000,00000000,000ee50f,3d174f70,00000000,3d174f70,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
86,86,0,00000000,00000000,000ee50f,3d174f71,00000000,3d174f71,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
87,87,0,00000000,00000000,000ee50f,3d174f72,00000000,3d174f72,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
88,88,0,00000000,00000000,000ee50f,3d174f73,00000000,3d174f73,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
89,89,0,00000000,00000000,000ee50f,3d174f74,00000000,3d174f74,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
90,90,0,00000000,00000000,000ee50f,3d174f75,00000000,3d174f75,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
91,91,0,00000000,00000000,000ee50f,3d174f76,00000000,3d174f76,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
92,92,0,00000000,00000000,000ee50f,3d174f77,00000000,3d174f77,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
93,93,0,00000000,00000000,000ee50f,3d174f78,00000000,3d174f78,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
94,94,0,00000000,00000000,000ee50f,3d174f79,00000000,3d174f79,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
95,95,0,00000000,00000000,000ee50f,3d174f7a,00000000,3d174f7a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
96,96,0,00000000,00000000,000ee50f,3d174f7b,00000000,3d174f7b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
97,97,0,00000000,00000000,000ee50f,3d174f7c,00000000,3d174f7c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
98,98,0,00000000,00000000,000ee50f,3d174f7d,00000000,3d174f7d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
99,99,0,00000000,00000000,000ee50f,3d174f7e,00000000,3d174f7e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
100,100,0,00000000,00000000,000ee50f,3d174f7f,00000000,3d174f7f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
101,101,0,00000000,00000000,000ee50f,3d174f80,00000000,3d174f80,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
102,102,0,00000000,00000000,000ee50f,3d174f81,00000000,3d174f81,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
103,103,0,00000000,00000000,000ee50f,3d174f82,00000000,3d174f82,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
104,104,0,00000000,00000000,000ee50f,3d174f83,00000000,3d174f83,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
105,105,0,00000000,00000000,000ee50f,3d174f84,00000000,3d174f84,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
106,106,0,00000000,00000000,000ee50f,3d174f85,00000000,3d174f85,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
107,107,0,00000000,00000000,000ee50f,3d174f86,00000000,3d174f86,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
108,108,0,00000000,00000000,000ee50f,3d174f87,00000000,3d174f87,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
109,109,0,00000000,00000000,000ee50f,3d174f88,00000000,3d174f88,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
110,110,0,00000000,00000000,000ee50f,3d174f89,00000000,3d174f89,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
111,111,0,00000000,00000000,000ee50f,3d174f8a,00000000,3d174f8a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
112,112,0,00000000,00000000,000ee50f,3d174f8b,00000000,3d174f8b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
113,113,0,00000000,00000000,000ee50f,3d174f8c,00000000,3d174f8c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
114,114,0,00000000,00000000,000ee50f,3d174f8d,00000000,3d174f8d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
115,115,0,00000000,00000000,000ee50f,3d174f8e,00000000,3d174f8e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
116,116,0,00000000,00000000,000ee50f,3d174f8f,00000000,3d174f8f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
117,117,0,00000000,00000000,000ee50f,3d174f90,00000000,3d174f90,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
118,118,0,00000000,00000000,000ee50f,3d174f91,00000000,3d174f91,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
119,119,0,00000000,00000000,000ee50f,3d174f92,00000000,3d174f92,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
120,120,0,00000000,00000000,000ee50f,3d174f93,00000000,3d174f93,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
121,121,0,00000000,00000000,000ee50f,3d174f94,00000000,3d174f94,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
122,122,0,00000000,00000000,000ee50f,3d174f95,00000000,3d174f95,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
123,123,0,00000000,00000000,000ee50f,3d174f96,00000000,3d174f96,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
124,124,0,00000000,00000000,000ee50f,3d174f97,00000000,3d174f97,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
